Date,minor,Adj Close,High,Low,Open,Volume
2016-12-20,^GSPC,2270.76001,2272.560059,2266.139893,2266.5,3298780000.0
2016-12-21,^GSPC,2265.179932,2271.22998,2265.149902,2270.540039,2852230000.0
2016-12-22,^GSPC,2260.959961,2263.179932,2256.080078,2262.929932,2876320000.0
2016-12-23,^GSPC,2263.790039,2263.790039,2258.840088,2260.25,2020550000.0
2016-12-27,^GSPC,2268.8798829999996,2273.820068,2266.149902,2266.22998,1987080000.0
2016-12-28,^GSPC,2249.919922,2271.310059,2249.110107,2270.22998,2392360000.0
2016-12-29,^GSPC,2249.26001,2254.51001,2244.560059,2249.5,2336370000.0
2016-12-30,^GSPC,2238.830078,2253.580078,2233.6201170000004,2251.610107,2670900000.0
2017-01-03,^GSPC,2257.830078,2263.8798829999996,2245.1298829999996,2251.570068,3770530000.0
2017-01-04,^GSPC,2270.75,2272.820068,2261.600098,2261.600098,3764890000.0
2017-01-05,^GSPC,2269.0,2271.5,2260.449951,2268.179932,3761820000.0
2017-01-06,^GSPC,2276.97998,2282.100098,2264.060059,2271.139893,3339890000.0
2017-01-09,^GSPC,2268.899902,2275.48999,2268.899902,2273.590088,3217610000.0
2017-01-10,^GSPC,2268.899902,2279.27002,2265.27002,2269.719971,3638790000.0
2017-01-11,^GSPC,2275.320068,2275.320068,2260.830078,2268.600098,3620410000.0
2017-01-12,^GSPC,2270.439941,2271.780029,2254.25,2271.139893,3462130000.0
2017-01-13,^GSPC,2274.639893,2278.679932,2271.51001,2272.73999,3081270000.0
2017-01-17,^GSPC,2267.889893,2272.080078,2262.810059,2269.139893,3584990000.0
2017-01-18,^GSPC,2271.889893,2272.01001,2263.350098,2269.139893,3315250000.0
2017-01-19,^GSPC,2263.689941,2274.330078,2258.409912,2271.899902,3165970000.0
2017-01-20,^GSPC,2271.310059,2276.959961,2265.01001,2269.959961,3524970000.0
2017-01-23,^GSPC,2265.199951,2271.780029,2257.02002,2267.780029,3152710000.0
2017-01-24,^GSPC,2280.070068,2284.6298829999996,2266.679932,2267.8798829999996,3810960000.0
2017-01-25,^GSPC,2298.3701170000004,2299.550049,2288.8798829999996,2288.8798829999996,3846020000.0
2017-01-26,^GSPC,2296.679932,2300.98999,2294.080078,2298.6298829999996,3610360000.0
2017-01-27,^GSPC,2294.689941,2299.02002,2291.6201170000004,2299.02002,3135890000.0
2017-01-30,^GSPC,2280.899902,2286.01001,2268.040039,2286.01001,3591270000.0
2017-01-31,^GSPC,2278.8701170000004,2279.090088,2267.209961,2274.02002,4087450000.0
2017-02-01,^GSPC,2279.550049,2289.139893,2272.439941,2285.590088,3916610000.0
2017-02-02,^GSPC,2280.850098,2283.969971,2271.649902,2276.689941,3807710000.0
2017-02-03,^GSPC,2297.419922,2298.310059,2287.8798829999996,2288.540039,3597970000.0
2017-02-06,^GSPC,2292.560059,2296.179932,2288.570068,2294.280029,3109050000.0
2017-02-07,^GSPC,2293.080078,2299.399902,2290.159912,2295.8701170000004,3448690000.0
2017-02-08,^GSPC,2294.669922,2295.909912,2285.3798829999996,2289.550049,3609740000.0
2017-02-09,^GSPC,2307.8701170000004,2311.080078,2296.610107,2296.699951,3677940000.0
2017-02-10,^GSPC,2316.100098,2319.22998,2311.100098,2312.27002,3475020000.0
2017-02-13,^GSPC,2328.25,2331.580078,2321.419922,2321.719971,3349730000.0
